authorName
Rumer Godden
Ruth Rendell
Salman Rushdie
Sandra Brown
Sandra Dallas
Sandra Gulland
Sandra Hill
Santa Montefiore
Sara Donati
Sara Nickles
Sarah Graves
Sarah J. Maas
Sarah Shun-lien Bynum
Sarah Stonich
Sascha Rothchild
Scott Ciencin
Sean Danker
Selma Lagerlof
Seraphina Nova Glass
Shannon Donnelly
Shannon Drake
Shirley Jackson
Sidney Sheldon
Simon Kernick
Sir Arthur Conan Doyle
Solomon Northup
Sonia Singh
Stephanie Barron
Stephanie Laurens
Stephanie Mittman
Stephen Frey
Stephen Jones
Stephen King
Stephen White
Steve Aylett
Steve Cavanagh
Steve Szilagyi
Steven Barnes
Steven Millhauser
Steven Underhill
Stuart Woods
Sue Grafton
Susan Elia MacNeal
Susan Hill
Susan Perabo
Susan Wittig Albert
Susanna Calkins
Susanna Kearsley
Suzanne Enoch
Suzanne Macpherson
Sven Hassel
T. L. Huchu
Tami Hoag
Tayari Jones
Terry Pratchett
Terry Southern
Theodora Goss
Theresa Romain
Thomas H. Cook
Thomas Harris
Thomas Keneally
Thomas Mann
Thomas Perry
Tom Clancy
Tracie Peterson
V. A. Stuart
V.C. Andrews
VANCE RANDOLPH
Victoria Strauss
Vilhelm Moberg
Virginia Woolf
W. Dale Cramer
Walter M. Miller (Jr.)
Walter Mosley
Willa Cather
Willem Elsschot
William Faulkner
William Golding
William Mark Simmons
William S. Burroughs
William Styron
Winston Graham
Yuan-Tsung Chen
Zane
Zane Grey
Zoe Heller
Исаак Бабель
