publisherName
A&C Black
Abrams
Alfred a Knopf Incorporated
Algonquin Books
Alyson Books
Anchor
Anchor Canada
Aspect
AuthorHouse
Avon
Avon Books
BAAE Publishing
BEYOND BOOKS HUB
Back Bay Books
Baen Books
Baker Books
Ballantine Books
Bamboo Books Incorporated
Bantam
Bantam Classics
Barbour Publishing
Beacon Press
Beeler Large Print Books
Beignet Books
Belgrave House
BelleBooks
BenBella Books Inc.
Berkley
Berkley Publishing Group
Bethany House
Bethany House Publishers
Beyond Words/Atria Books
Bison Books
Bloomsbury Publishing USA
BoD – Books on Demand
Boldwood Books Ltd
BookRix
Bywater Books
Catapult
Caxton Press
Chicago Review Press
City Lights Books
Codex Books
Courier Corporation
Courier Dover Publications
Createspace Independent Pub
Crimeline
Crossroad Press
Crown
Crown Pub
DEBOLSILLO
Dafina Books
Dalkey Archive Press
David Morrell
David R. Godine Publisher
Daw Books
Del Rey
Delacorte Press
Delacorte Publications Incorporated
Dell
Delta
Dial Press
Dial Press Trade Paperback
DigiCat
Doubleday
E-Rights/E-Reads Limited
Everyman's Library
FTL Publications
Faber & Faber
Farrar Straus and Giroux
Fawcett
Fawcett Books
Felony & Mayhem Press
First Avenue Editions
Five Star (ME)
Five Star Trade
Forge Books
Frances Lincoln
Gallery / Saga Press
Gardners Books
Grand Central Publishing
Graymalkin Media
Grove Press
Grove/Atlantic Inc.
HMH
HQN Books
Hachette UK
Harlequin
Harper Collins
HarperCollins
HarperCollins Christian Publishing
HarperCollins UK
Harpercollins Canada
Harvest Books
Harvest House Publishers
Heinemann
Hendrickson Publishers
Henry Holt
Herald Press
Hogarth
Houghton Mifflin
Houghton Mifflin Harcourt
House of Stratus
Ignatius Press
Ivy Books
Joe Books Ltd
Kensington
Kensington Books
Kensington Publishing Corp.
Library of Crime Classics
Lindhardt og Ringhof
Little Brown
Llewellyn Worldwide
Lucasbooks
Lulu.com
Lyrical Underground
MIRA
Macmillan
McClelland & Stewart
McSweeneys Books
Milkweed Editions
Minotaur Books
Montlake Romance
Mulholland Books
Multnomah Fiction
New Directions
New Directions Publishing
New York : Pocket Books ; Markham Ont. Distributed in Canada by PaperJacks
New York Review of Books
Night Shade
Nightboat Books
Oceanview Publishing
Odyssey Editions
One World
Onyx Books
Open Road + Grove/Atlantic
Open Road Media
Orbit
Overamstel Uitgevers
Oxford University Press USA
Paizo Pub Llc
Pan Macmillan
Penguin
Penguin Books
Penguin Group USA
Penguin Mass Market
Penguin UK
Pinnacle Books
Pocket Books
Pollinger in Print
Prabhat Prakashan
Presidio Press
Random House
Random House Digital Inc.
Random House Incorporated
Random House Large Print Publishing
Random House Trade Paperbacks
Rebecca Jenshak
Rosetta Books
RosettaBooks
Rowman & Littlefield
Samhain Publishing
Silhouette
Simon & Schuster
Simon and Schuster
Singel Uitgeverijen
Sister Jane
Soho Press
Sourcebooks Inc.
St. Martin's Griffin
St. Martin's Paperbacks
St. Martin's Press
Subterranean Press
The Floating Press
Thomas Nelson
Thomas Nelson Inc
Titan Books
Titan Books (US CA)
Tor Books
Tor Science Fiction
Townsend Press
Turner Publishing Company
Tyndale House Pub
Tyndale House Publishers Inc.
University of Chicago Press
University of Iowa Press
University of Virginia Press
Urban Books
Viking Adult
Vintage
Vintage Canada
Vintage Crime/Black Lizard
W. W. Norton
W. W. Norton & Company
Waterbrook Press
Western Literature
Westford Press
William Morrow & Company
Wizards of the Coast
Xist Publishing
Zebra Books
Zondervan
ePenguin
eReads.com
iUniverse
